\alpha, α
\beta, β
\gamma, γ
\delta, δ
\epsilon, ϵ
\varepsilon, ε
\zeta, ζ
\eta, η
\theta, θ
\vartheta, ϑ
\iota, ι
\kappa, κ
\varkappa, ϰ
\lambda, λ
\mu, μ
\nu, ν
\xi, ξ
\omicron, ο
\pi, π
\varpi, ϖ
\rho, ρ
\varrho, ϱ
\sigma, σ
\varsigma, ς
\tau, τ
\upsilon, υ
\phi, ϕ
\varphi, φ
\chi, χ
\psi, ψ
\omega, ω
\Gamma, Γ
\Delta, Δ
\Theta, Θ
\Lamda, Λ
\Xi, Ξ
\Pi, Π
\Sigma, Σ
\Phi, Φ
\Psi, Ψ
\Omega, Ω
\mathbb{0}, 𝟘
\mathbb{1}, 𝟙
\mathbb{2}, 𝟚
\mathbb{3}, 𝟛
\mathbb{4}, 𝟜
\mathbb{5}, 𝟝
\mathbb{6}, 𝟞
\mathbb{7}, 𝟟
\mathbb{8}, 𝟠
\mathbb{9}, 𝟡
\mathbb{A}, 𝔸
\mathbb{B}, 𝔹
\mathbb{C}, ℂ
\mathbb{D}, 𝔻
\mathbb{E}, 𝔼
\mathbb{F}, 𝔽
\mathbb{G}, 𝔾
\mathbb{H}, ℍ
\mathbb{I}, 𝕀
\mathbb{J}, 𝕁
\mathbb{K}, 𝕂
\mathbb{L}, 𝕃
\mathbb{M}, 𝕄
\mathbb{N}, ℕ
\mathbb{O}, 𝕆
\mathbb{P}, ℙ
\mathbb{Q}, ℚ
\mathbb{R}, ℝ
\mathbb{S}, 𝕊
\mathbb{T}, 𝕋
\mathbb{U}, 𝕌
\mathbb{V}, 𝕍
\mathbb{W}, 𝕎
\mathbb{X}, 𝕏
\mathbb{Y}, 𝕐
\mathbb{Z}, ℤ
\mathbb{a}, 𝕒
\mathbb{b}, 𝕓
\mathbb{c}, 𝕔
\mathbb{d}, 𝕕
\mathbb{e}, 𝕖
\mathbb{f}, 𝕗
\mathbb{g}, 𝕘
\mathbb{h}, 𝕙
\mathbb{i}, 𝕚
\mathbb{j}, 𝕛
\mathbb{k}, 𝕜
\mathbb{l}, 𝕝
\mathbb{m}, 𝕞
\mathbb{n}, 𝕟
\mathbb{o}, 𝕠
\mathbb{p}, 𝕡
\mathbb{q}, 𝕢
\mathbb{r}, 𝕣
\mathbb{s}, 𝕤
\mathbb{t}, 𝕥
\mathbb{u}, 𝕦
\mathbb{v}, 𝕧
\mathbb{w}, 𝕨
\mathbb{x}, 𝕩
\mathbb{y}, 𝕪
\mathbb{z}, 𝕫
\mathscr{A}, 𝓐
\mathscr{B}, 𝓑
\mathscr{C}, 𝓒
\mathscr{D}, 𝓓
\mathscr{E}, 𝓔
\mathscr{F}, 𝓕
\mathscr{G}, 𝓖
\mathscr{H}, 𝓗
\mathscr{I}, 𝓘
\mathscr{J}, 𝓙
\mathscr{K}, 𝓚
\mathscr{L}, 𝓛
\mathscr{M}, 𝓜
\mathscr{N}, 𝓝
\mathscr{O}, 𝓞
\mathscr{P}, 𝓟
\mathscr{Q}, 𝓠
\mathscr{R}, 𝓡
\mathscr{S}, 𝓢
\mathscr{T}, 𝓣
\mathscr{U}, 𝓤
\mathscr{V}, 𝓥
\mathscr{W}, 𝓦
\mathscr{X}, 𝓧
\mathscr{Y}, 𝓨
\mathscr{Z}, 𝓩
\mathcal{A}, 𝓐
\mathcal{B}, 𝓑
\mathcal{C}, 𝓒
\mathcal{D}, 𝓓
\mathcal{E}, 𝓔
\mathcal{F}, 𝓕
\mathcal{G}, 𝓖
\mathcal{H}, 𝓗
\mathcal{I}, 𝓘
\mathcal{J}, 𝓙
\mathcal{K}, 𝓚
\mathcal{L}, 𝓛
\mathcal{M}, 𝓜
\mathcal{N}, 𝓝
\mathcal{O}, 𝓞
\mathcal{P}, 𝓟
\mathcal{Q}, 𝓠
\mathcal{R}, 𝓡
\mathcal{S}, 𝓢
\mathcal{T}, 𝓣
\mathcal{U}, 𝓤
\mathcal{V}, 𝓥
\mathcal{W}, 𝓦
\mathcal{X}, 𝓧
\mathcal{Y}, 𝓨
\mathcal{Z}, 𝓩
\leq, ≤
\geq, ≥
\to, →
\uparrow, ↑
\downarrow, ↓
\Rightarrow, ⇒
\forall, ∀
\exists, ∃
\emptyset, ∅
\nabla, ∇
\in, ∈
\propto, ∝
\infty, ∞
\cup, ∪
\cap, ∩
\int, ∫
\subset, ⊂
\supset, ⊃
\bigcup, ⋃
\bigcap, ⋂
\sim, ∼
\equiv, ≡
\vert, |
\prod, ∏
\sum, ∑
\partial, ∂
\intercal, ⊺
\neq, ≠
\parallel, ‖
\langle, ⟨
\rangle, ⟩
\lfloor, ⌊
\rfloor, ⌋
\lceil, ⌈
\rceil, ⌉
\vee, ∨
\wedge, ∧
\cdot, ·
